" Order Date ","Region Name","STATE","Category-Type","Customer ID","Sales($)","Profit Margin"
"Jan 4, 2024","East","Massachusetts","Office Supplies","C1001","65.25","1"
"Jan 7, 2024","South","Tennessee","Technology","C1002","85.5","-0.17"
"Jan 10, 2024","North","Minnesota","Furniture","C1003","105.75","0.06"
"Jan 13, 2024","Central","Colorado","Office Supplies","C1004","126","27.72"
"Jan 16, 2024","West","Washington","Technology","C1005","146.25","5.2"
"2024-01-19","East","Florida","Furniture","C1006","166.5","6.15"
"Jan 22, 2024","South","Louisiana","Office Supplies","C1007","164","5.1"
"01/25/2024","North","Illinois","Technology","C1008","184.25","34.09"
"Jan 28, 2024","Central","Kansas"," Furniture ","C1009","204.5","38.49"
"Jan 31, 2024","West","Oregon","Office Supplies","C1010","224.75",
"Feb 3, 2024"," East","Virginia","Technology","C1011","245","8.68"
"2024-02-06","South","Texas","Furniture","C1012","265.25","39.79"
"Feb 9, 2024","North","Michigan ","Office Supplies","C1013","285.5","46.32"
"Feb 12, 2024","Central","Missouri","Technology","C1014",,"49.26"
"Feb 15, 2024","West","Nevada","Furniture","C1015","303.25","4.76"
"02/18/2024","East","New York","Office Supplies","C1016","323.5","37.2"
"Feb 21, 2024","South","Georgia","Technology"," C1017 ","343.75","45.06"
"2024-02-24","North",""," Furniture ","C1018","364","54.34"
"Feb 27, 2024","Central","Nebraska","Office Supplies","C1019","384.25","65.04"
"Mar 1, 2024","West","California","Technology","C1020","404.5",
"Mar 4, 2024","East","Massachusetts","Furniture","C1021","402","39.73"
"Mar 7, 2024"," South","Tennessee","","C1022","422.25","50.34"
"Mar 10, 2024","North","Minnesota","Technology","C1023","442.5","62.36"
"03/13/2024","Central","Colorado","Furniture","C1024","462.75","101.8"
"Mar 16, 2024","West","Washington","Office Supplies","C1025","483","32.14"
"Mar 19, 2024","East","Florida ","Technology","C1026","503.25","44.87"
"","South","Louisiana"," Furniture ","C1027","523.5","59.03"
"Mar 25, 2024","North","Illinois","Office Supplies","C1028",,"96.38"
"Mar 28, 2024","Central","Kansas","Technology","C1029","541.25","112.58"
"2024-03-31","West","Oregon","Furniture","C1030","561.5",
"Apr 3, 2024","East","Virginia","Office Supplies","C1031","581.75","47.4"
"04/06/2024","South","Texas","Technology","C1032","602","90.3"
"Apr 9, 2024"," North","Michigan","Furniture","C1033","622.25","108.62"
"Apr 12, 2024","Central","Missouri","Office Supplies"," C1034 ","642.5","128.35"
"Apr 15, 2024","West","Nevada","Technology","C1035","640","31.7"
"2024-04-18","East",""," Furniture ","C1036","660.25","75.93"
"Apr 21, 2024","South","Georgia","Office Supplies","C1037","680.5","95.58"
"Apr 24, 2024","North","Ohio","Technology","C1038","700.75","116.64"
"Apr 27, 2024","Central","Nebraska ","Furniture","C1039","721","139.12"
"04/30/2024","West","California","Office Supplies","C1040","741.25",
"May 3, 2024","East","Massachusetts","Technology","C1041","761.5","81.07"
"2024-05-06","South","Tennessee","Furniture","C1042",,"100.85"
"May 9, 2024","North","Minnesota","Office Supplies","C1043","779.25","124.66"
"May 12, 2024"," Central","Colorado","","C1044","799.5","175.89"
"May 15, 2024","West","Washington"," Furniture ","C1045","819.75","59.08"
